,panel,xm,ym,ds,Qy,Qx,qs
1,upper,0.17983513699999998,0.02457281895,0.00033613678,2.885500540396865e-08,3.91172083558258e-09,8.692652648564003
2,upper,0.179369272,0.024664820900000002,0.0006135885650000001,8.124146799109249e-08,1.1108679607381142e-08,24.72264748448211
3,upper,0.17876721299999998,0.024783185,0.0006135799549999999,1.3325778414655194e-07,1.8378163229136666e-08,40.96132059546429
4,upper,0.178165044,0.02490094405,0.0006135714599999999,1.8490390642484478e-07,2.5719799797299676e-08,57.40770401772988
5,upper,0.177562765,0.02501809705,0.0006135630900000002,2.3617978801123056e-07,3.3133216971629865e-08,74.06082861487575
6,upper,0.17696037650000002,0.0251346428,0.0006135548299999998,2.8708538093012935e-07,4.061804155178469e-08,90.91972306706268
7,upper,0.176357879,0.02525058015,0.0006135466799999999,3.3762063731665984e-07,4.8173899685350686e-08,107.98341434711057
8,upper,0.175755273,0.025365908,0.0006135386400000003,3.8778550941655097e-07,5.580041689815661e-08,125.25092779960282
9,upper,0.1751525585,0.0254806251,0.0006135307299999998,4.37579950902498e-07,6.349721825277904e-08,142.7212874853952
10,upper,0.174549736,0.02559473035,0.0006135229299999998,4.870039139103208e-07,7.126392794296805e-08,160.39351527888158
11,upper,0.173946806,0.02570822255,0.0006135152200000002,5.360573490870983e-07,7.910016922277367e-08,178.26663068052764
12,upper,0.173343768,0.025821100450000002,0.0006135076500000001,5.84740210580435e-07,8.700556526846261e-08,196.33965280407605
13,upper,0.1727406225,0.02593336295,0.0006135001799999996,6.330524494439208e-07,9.497973812289753e-08,214.61159796815127
14,upper,0.1721373705,0.026045008699999997,0.0006134928099999996,6.809940171661039e-07,1.0302230904819566e-07,233.08148043124888
15,upper,0.171534012,0.0261560365,0.0006134855599999999,7.285648666077503e-07,1.1113289888183181e-07,251.74831327176003
16,upper,0.170930547,0.026266445149999998,0.0006134784200000007,7.757649496453483e-07,1.1931112764520788e-07,270.61110749026295
17,upper,0.17032697600000002,0.0263762333,0.000613471400000001,8.225942190286088e-07,1.275566147156435e-07,289.6688723608133
18,upper,0.1697232995,0.02648539975,0.0006134644999999991,8.690526275989215e-07,1.3586897878689237e-07,308.92061536894033
19,upper,0.1691195175,0.02659394315,0.0006134576000000006,9.151401189672455e-07,1.4424783613769981e-07,328.3653381829245
20,upper,0.1685156305,0.026701862200000002,0.0006134508999999996,9.60856651958157e-07,1.526928050154888e-07,348.00204680955284
21,upper,0.167911639,0.02680915565,0.0006134443999999996,1.0062021853427326e-06,1.6120350297817767e-07,367.8297454592099
22,upper,0.1673075425,0.02691582215,0.0006134377999999999,1.0511766552303372e-06,1.6977954263803094e-07,387.8474266265523
23,upper,0.16670334199999998,0.0270218603,0.0006134313999999995,1.09578002034045e-06,1.7842053995482234e-07,408.054090354435
