,panel,xm,ym,ds,theta,Qy,Qx,qs_b,q_total,tau
1,upper,0.179835,0.024573,0.000336,2.945970,0.000000,0.000000,8.692652,-2127.071952,-2127071.952334
2,upper,0.179369,0.024665,0.000614,2.946969,0.000000,0.000000,24.722645,-2111.041959,-2111041.959339
3,upper,0.178767,0.024783,0.000614,2.947970,0.000000,0.000000,40.961316,-2094.803288,-2094803.288067
4,upper,0.178165,0.024901,0.000614,2.948973,0.000000,0.000000,57.407697,-2078.356906,-2078356.906481
5,upper,0.177563,0.025018,0.000614,2.949978,0.000000,0.000000,74.060820,-2061.703784,-2061703.783718
6,upper,0.176960,0.025135,0.000614,2.950984,0.000000,0.000000,90.919713,-2044.844891,-2044844.891098
7,upper,0.176358,0.025251,0.000614,2.951992,0.000000,0.000000,107.983402,-2027.781202,-2027781.201647
8,upper,0.175755,0.025366,0.000614,2.953002,0.000000,0.000000,125.250914,-2010.513690,-2010513.690021
9,upper,0.175153,0.025481,0.000614,2.954014,0.000000,0.000000,142.721272,-1993.043332,-1993043.332160
10,upper,0.174550,0.025595,0.000614,2.955027,0.000000,0.000000,160.393498,-1975.371106,-1975371.106189
11,upper,0.173947,0.025708,0.000614,2.956043,0.000001,0.000000,178.266611,-1957.497993,-1957497.992606
12,upper,0.173344,0.025821,0.000614,2.957061,0.000001,0.000000,196.339632,-1939.424972,-1939424.972300
13,upper,0.172741,0.025933,0.000614,2.958080,0.000001,0.000000,214.611575,-1921.153029,-1921153.028951
14,upper,0.172137,0.026045,0.000613,2.959101,0.000001,0.000000,233.081456,-1902.683148,-1902683.148300
15,upper,0.171534,0.026156,0.000613,2.960124,0.000001,0.000000,251.748287,-1884.016317,-1884016.317269
16,upper,0.170931,0.026266,0.000613,2.961149,0.000001,0.000000,270.611079,-1865.153525,-1865153.524858
17,upper,0.170327,0.026376,0.000613,2.962176,0.000001,0.000000,289.668842,-1846.095762,-1846095.761792
18,upper,0.169723,0.026485,0.000613,2.963204,0.000001,0.000000,308.920583,-1826.844021,-1826844.020586
19,upper,0.169120,0.026594,0.000613,2.964236,0.000001,0.000000,328.365304,-1807.399300,-1807399.299572
20,upper,0.168516,0.026702,0.000613,2.965268,0.000001,0.000000,348.002011,-1787.762593,-1787762.592743
