,panel,xm,ym,ds,theta,Qy,Qx,qs
1,upper,0.1798351369999999,0.02457281895,0.00033613678,2.94596987928975,2.8855006753242635e-08,3.911720618310388e-09,8.692651638932979
2,upper,0.179369272,0.0246648209,0.000613588565,2.946968856928433,8.124147180334926e-08,1.1108678993497385e-08,24.722644633667162
3,upper,0.1787672129999999,0.024783185,0.0006135799549999,2.9479702906937084,1.332577904217484e-07,1.837816221864573e-08,40.96131590583424
4,upper,0.178165044,0.02490094405,0.0006135714599999,2.948973191539241,1.8490391516294694e-07,2.571979839020704e-08,57.40769749166374
5,upper,0.177562765,0.02501809705,0.00061356309,2.949977878352632,2.3617979921221323e-07,3.313321516794213e-08,74.0608202547628
6,upper,0.1769603765,0.0251346428,0.0006135548299999,2.950984361486978,2.870853945939511e-07,4.061803935150598e-08,90.91971287529442
7,upper,0.176357879,0.02525058015,0.0006135466799999,2.951992472001199,3.3762065344328804e-07,4.817389708848626e-08,107.98340232608884
8,upper,0.175755273,0.025365908,0.00061353864,2.953002223476852,3.8778552800596156e-07,5.5800413904712886e-08,125.25091395173988
9,upper,0.1751525585,0.0254806251,0.0006135307299999,2.9540143879127947,4.3757997195465106e-07,6.349721486275987e-08,142.7212718131054
10,upper,0.174549736,0.02559473035,0.0006135229299999,2.9550274120262268,4.870039374251851e-07,7.126392415637849e-08,160.39349778458967
11,upper,0.173946806,0.02570822255,0.00061351522,2.956043167644154,5.36057375064651e-07,7.910016503961996e-08,178.26661136666905
12,upper,0.173343768,0.02582110045,0.00061350765,2.957060549041634,5.847402390206456e-07,8.700556068874964e-08,196.339631673091
13,upper,0.1727406225,0.02593336295,0.0006135001799999,2.9580795781588503,6.330524803467516e-07,9.497973314662885e-08,214.61157502248466
14,upper,0.1721373705,0.0260450086999999,0.0006134928099999,2.959100739816629,6.809940505315254e-07,1.0302230367537596e-07,233.08145567335623
15,upper,0.171534012,0.0261560365,0.0006134855599999,2.960123664641801,7.285649024357333e-07,1.111328931124658e-07,251.74828670410486
16,upper,0.170930547,0.0262664451499999,0.00061347842,2.961148723517617,7.757649879358719e-07,1.1931112147930142e-07,270.61107911531917
17,upper,0.170326976,0.0263762333,0.0006134714,2.9621757303744864,8.225942597816448e-07,1.275566081532012e-07,289.6688421810601
18,upper,0.1697232995,0.02648539975,0.0006134644999999,2.963204394941676,8.690526708144347e-07,1.3586897182791736e-07,308.9205833868612
19,upper,0.1691195175,0.02659394315,0.0006134576,2.964235777683292,9.151401646452157e-07,1.442478287821979e-07,328.36530440101745
20,upper,0.1685156305,0.0267018622,0.0006134508999999,2.9652683730976013,9.6085670009855e-07,1.526927972634629e-07,348.0020112303169
21,upper,0.167911639,0.02680915565,0.0006134443999999,2.9663035243550984,1.0062022359455223e-06,1.6120349482963201e-07,367.82970808515506
22,upper,0.1673075425,0.02691582215,0.0006134377999999,2.9673407824011866,1.051176708295497e-06,1.6977953409296979e-07,387.84738746019684
23,upper,0.1667033419999999,0.0270218603,0.0006134313999999,2.9683799054521605,1.0957800758679544e-06,1.7842053101324982e-07,408.054049398305
24,upper,0.1660990379999999,0.02712726875,0.0006134252,2.9694212586968574,1.140012297328571e-06,1.8712610079781035e-07,428.44869198174285
25,upper,0.165494631,0.0272320462,0.0006134188999999,2.970464324409402,1.1838733098382906e-06,1.958958536425432e-07,449.030301344632
26,upper,0.164890121,0.02733619125,0.0006134128999999,2.971510215411255,1.2273630791005611e-06,2.0472940462532386e-07,469.797874861978
27,upper,0.1642855075,0.02743970245,0.0006134069,2.9725582585533594,1.2704815488818955e-06,2.1362636368844964e-07,490.7503976594196
28,upper,0.163680792,0.0275425784,0.0006134011,2.9736078639086205,1.313228677808498e-06,2.225863428482725e-07,511.8868594946536
29,upper,0.1630759745,0.02764481775,0.0006133951999999,2.9746602847576438,1.3556044034203521e-06,2.3160894895305325e-07,533.2062377465132
30,upper,0.162471055,0.027746419,0.0006133896,2.9757147547109453,1.3976086908323002e-06,2.406937938359247e-07,554.70752135399
31,upper,0.1618660345,0.0278473807,0.000613384,2.976771335549836,1.43924148486765e-06,2.4984048406921416e-07,576.3896865935649
32,upper,0.161260913,0.0279477014,0.0006133785999999,2.9778305086311145,1.480502743805171e-06,2.5904862834902885e-07,598.2517145772438
33,upper,0.1606556905,0.0280473796,0.0006133731999999,2.978891951242136,1.5213924122294893e-06,2.683178314996257e-07,620.2925770325788
34,upper,0.1600503675,0.02814641385,0.0006133679,2.979955560757693,1.5619104416393787e-06,2.776476989873752e-07,642.511246999724
35,upper,0.159444945,0.0282448026,0.0006133627999999,2.9810215021609614,1.6020567905122428e-06,2.870378368988073e-07,664.9066987707628
36,upper,0.158839423,0.02834254435,0.0006133576999999,2.982089975541679,1.6418314039943066e-06,2.9648784738792643e-07,687.477897075944
37,upper,0.1582338015,0.02843963755,0.0006133527,2.983160943061481,1.6812342336574887e-06,3.059973332183502e-07,710.2238078989517
38,upper,0.157628081,0.02853608065,0.0006133479,2.9842341813303377,1.7202652375637744e-06,3.155658978019153e-07,733.1433985742653
39,upper,0.157022262,0.0286318721,0.0006133431999999,2.9853099184745155,1.7589243674167963e-06,3.251931420973695e-07,756.2356303689825
40,upper,0.156416345,0.0287270103,0.0006133384,2.986388088530138,1.7972115625616668e-06,3.3487866296175314e-07,779.4994544958414
41,upper,0.15581033,0.0288214937,0.0006133338999999,2.9874688513832903,1.8351267872539573e-06,3.4462206263668405e-07,802.9338349106026
42,upper,0.1552042175,0.02891532065,0.0006133294,2.988552118452628,1.8726699871481983e-06,3.544229376517301e-07,826.5377216402884
43,upper,0.154598008,0.0290084894999999,0.0006133250999999,2.989637979503935,1.9098411203280592e-06,3.6428088674792063e-07,850.3100698301192
