index,s,x_centroidal,y_centroidal,q_s
0,0,0.08600791,0.0116046202,0
1,0.00033613721,0.085678184,0.0116699577,-14.864455
2,0.000949725452,0.08507618,0.0117886241,-42.2757318
3,0.001563305,0.084474066,0.0119066859,-70.0438442
4,0.00217687629,0.083871842,0.0120241422,-98.1671521
5,0.00279043973,0.083269508,0.0121409919,-126.644012
6,0.00340399472,0.082667065,0.0122572337,-155.472729
7,0.00401754169,0.082064513,0.0123728666,-184.651654
8,0.00463108005,0.081461853,0.0124878894,-214.179089
9,0.00524461117,0.080859084,0.0126023008,-244.053423
10,0.00585813354,0.080256208,0.0127160999,-274.272905
11,0.00647164851,0.079653224,0.0128292852,-304.83592
12,0.00708515652,0.079050132,0.0129418557,-335.740806
13,0.00769865701,0.078446933,0.0130538102,-366.985848
14,0.00831214935,0.077843628,0.0131651472,-398.569322
15,0.008925635,0.077240216,0.0132758658,-430.489612
16,0.00953911336,0.076636698,0.0133859645,-462.744987
17,0.0101525849,0.076033074,0.0134954421,-495.33377
18,0.0107660489,0.075429345,0.0136042974,-528.254228
19,0.011379507,0.07482551,0.0137125289,-561.504728
20,0.0119929575,0.074221571,0.0138201355,-595.083477
21,0.0126064018,0.073617527,0.0139271158,-628.988837
22,0.0132198404,0.073013378,0.0140334685,-663.219116
23,0.0138332717,0.072409126,0.0141391921,-697.772506
24,0.0144466971,0.07180477,0.0142442854,-732.647361
25,0.0150601152,0.071200312,0.014348747,-767.841868
26,0.0156735282,0.07059575,0.0144525755,-803.35443
27,0.0162869357,0.069991085,0.0145557694,-839.183281
28,0.0169003361,0.069386319,0.0146583274,-875.326593
29,0.0175137319,0.06878145,0.0147602481,-911.782765
30,0.0181271214,0.06817648,0.0148615299,-948.549958
31,0.0187405051,0.067571409,0.0149621715,-985.62645
32,0.0193538836,0.066966237,0.0150621713,-1023.01051
33,0.0199672572,0.066360964,0.0151615279,-1060.70041
34,0.0205806253,0.065755591,0.0152602398,-1098.69436
35,0.0211939875,0.065150119,0.0153583054,-1136.99055
36,0.0218073453,0.064544547,0.0154557233,-1175.5873
37,0.0224206979,0.063938876,0.0155524918,-1214.48281
38,0.023034046,0.063333106,0.0156486095,-1253.67532
39,0.023647389,0.062727238,0.0157440747,-1293.16303
40,0.0242607274,0.062121272,0.0158388859,-1332.94417
41,0.0248740616,0.061515208,0.0159330415,-1373.01699
42,0.0254873911,0.060909047,0.0160265398,-1413.37964
43,0.0261007164,0.060302789,0.0161193792,-1454.03037
44,0.026714037,0.059696435,0.0162115581,-1494.96734
45,0.0273273533,0.059089985,0.0163030748,-1536.18877
46,0.0279406659,0.058483439,0.0163939276,-1577.69287
47,0.0285539742,0.057876798,0.0164841149,-1619.47781
48,0.0291672796,0.057270061,0.0165736348,-1661.54185
49,0.0297805798,0.056663231,0.0166624858,-1703.883
50,0.0303938772,0.056056306,0.016750666,-1746.49959
51,0.0310071713,0.055449287,0.0168381736,-1789.38977
52,0.0316204617,0.054842175,0.016925007,-1832.55165
53,0.0322337477,0.054234971,0.0170111643,-1875.98335
54,0.032847032,0.053627673,0.0170966438,-1919.6832
55,0.033460312,0.053020284,0.0171814435,-1963.64917
56,0.0340735893,0.052412803,0.0172655616,-2007.8795
57,0.0346868634,0.051805231,0.0173489964,-2052.37231
58,0.0353001347,0.051197568,0.0174317458,-2097.12574
59,0.035913403,0.050589815,0.0175138081,-2142.1379
60,0.0365266686,0.049981972,0.0175951813,-2187.40695
61,0.0371399321,0.049374039,0.0176758635,-2232.93103
62,0.0377531931,0.048766017,0.0177558527,-2278.70823
63,0.0383664511,0.048157907,0.017835147,-2324.73661
64,0.0389797066,0.047549709,0.0179137444,-2371.01431
65,0.0395929613,0.046941422,0.0179916429,-2417.53954
66,0.0402062126,0.046333049,0.0180688404,-2464.31021
67,0.0408194621,0.045724589,0.018145335,-2511.32452
68,0.0414327104,0.045116042,0.0182211246,-2558.58059
69,0.0420459561,0.04450741,0.0182962071,-2606.07638
70,0.0426592008,0.043898692,0.0183705804,-2653.81007
71,0.043272443,0.04328989,0.0184442424,-2701.77962
72,0.0438856842,0.042681003,0.018517191,-2749.9832
73,0.0444989242,0.042072032,0.018589424,-2798.41884
74,0.0451121635,0.041462977,0.0186609392,-2847.08462
75,0.0457254007,0.04085384,0.0187317345,-2895.97846
76,0.0463386374,0.04024462,0.0188018077,-2945.09853
77,0.0469518722,0.039635319,0.0188711564,-2994.44274
78,0.0475651068,0.039025936,0.0189397785,-3044.00923
79,0.0481783407,0.038416472,0.0190076717,-3093.796
80,0.0487915747,0.037806927,0.0190748337,-3143.80109
81,0.0494048072,0.037197303,0.0191412622,-3194.0224
82,0.050018039,0.0365876,0.0192069547,-3244.45796
83,0.0506312718,0.035977817,0.0192719091,-3295.10592
84,0.051244503,0.035367957,0.0193361228,-3345.96404
85,0.0518577356,0.034758018,0.0193995936,-3397.03053
86,0.052470967,0.034148003,0.0194623188,-3448.30317
87,0.0530841989,0.033537911,0.0195242962,-3499.78004
88,0.0536974321,0.032927742,0.0195855232,-3551.45916
89,0.0543106643,0.032317499,0.0196459974,-3603.33829
90,0.054923898,0.03170718,0.0197057161,-3655.41559
91,0.055537132,0.031096787,0.019764677,-3707.68889
92,0.0561503671,0.03048632,0.0198228773,-3760.15617
93,0.0567636029,0.02987578,0.0198803145,-3812.81533
94,0.0573768391,0.029265168,0.019936986,-3865.66425
95,0.0579900775,0.028654483,0.0199928892,-3918.701
96,0.0586033168,0.028043727,0.0200480213,-3971.92337
97,0.0592252776,0.027424178,0.0201027406,-4026.08943
